,Info
revenuePerShare,27.173
returnOnAssets,0.24545999
returnOnEquity,1.49814
grossProfits,190739005440
freeCashflow,94873747456
operatingCashflow,108564996096
earningsGrowth,0.121
revenueGrowth,0.096
grossMargins,0.46678
ebitdaMargins,0.34675997
operatingMargins,0.29990998
financialCurrency,USD
symbol,AAPL
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
shortName,Apple Inc.
longName,Apple Inc.
regularMarketChangePercent,0.051096525
regularMarketPrice,254.56
regularMarketChange,0.13000488
regularMarketDayRange,253.8201 - 255.919
fullExchangeName,NasdaqGS
averageDailyVolume3Month,55965241
fiftyTwoWeekLowChange,85.34999
fiftyTwoWeekLowChangePercent,0.50440276
fiftyTwoWeekRange,169.21 - 260.1
fiftyTwoWeekHighChange,-5.5400085
fiftyTwoWeekHighChangePercent,-0.021299532
fiftyTwoWeekChangePercent,12.475133
dividendDate,1755129600
earningsTimestamp,1753992000
earningsTimestampStart,1761854400
earningsTimestampEnd,1761854400
earningsCallTimestampStart,1753995600
earningsCallTimestampEnd,1753995600
isEarningsDateEstimate,True
epsTrailingTwelveMonths,6.56
epsForward,8.31
epsCurrentYear,7.38523
priceEpsCurrentYear,34.468796
fiftyDayAverageChange,25.2444
fiftyDayAverageChangePercent,0.11008584
twoHundredDayAverageChange,32.548004
twoHundredDayAverageChangePercent,0.14660472
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,2.0 - Buy
hasPrePostMarketData,True
firstTradeDateMilliseconds,345479400000
corporateActions,[]
regularMarketTime,1759250275
exchange,NMS
messageBoardId,finmb_24937
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
marketState,REGULAR
cryptoTradeable,False
displayName,Apple
trailingPegRatio,2.4456
